,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-1.5694878,-2.2898157,1.3052176,3.15585,-2.1897817,4.7078195,-2.8856988,4.94334,-3.7892995,5.810289,-2.9735076,5.067923,4.663133,0.2275215,-4.966847,-3.97415
1,-1.5694878,-2.2898157,1.3052176,3.15585,-2.1897817,4.7078195,-2.8856988,4.94334,-3.7892995,5.810289,-2.9735076,5.067923,4.663133,0.2275215,-4.966847,-3.97415
2,-1.569488,-2.2898157,1.3052176,3.1558504,-2.1897817,4.7078195,-2.8856988,4.943341,-3.7892995,5.8102894,-2.9735076,5.0679226,4.6631336,0.2275215,-4.966847,-3.97415
3,-1.569488,-2.2898157,1.3052176,3.1558504,-2.1897817,4.7078195,-2.8856988,4.943341,-3.7892995,5.8102894,-2.9735076,5.0679226,4.6631336,0.2275215,-4.966847,-3.97415
4,-1.5694882,-2.2898154,1.3052175,3.1558497,-2.1897817,4.7078195,-2.8856986,4.9433403,-3.7893,5.8102884,-2.9735074,5.0679226,4.663133,0.2275215,-4.966847,-3.9741502
5,-1.5694882,-2.2898154,1.3052175,3.1558497,-2.1897817,4.7078195,-2.8856986,4.9433403,-3.7893,5.8102884,-2.9735074,5.0679226,4.663133,0.2275215,-4.966847,-3.9741502
6,-1.5694882,-2.2898154,1.3052176,3.1558502,-2.189782,4.7078195,-2.8856986,4.9433403,-3.7893,5.810288,-2.9735074,5.0679226,4.663133,0.2275215,-4.966847,-3.9741502
7,-1.5694882,-2.2898154,1.3052176,3.1558502,-2.189782,4.7078195,-2.8856986,4.9433403,-3.7893,5.810288,-2.9735074,5.0679226,4.663133,0.2275215,-4.966847,-3.9741502
8,-1.5694879,-2.2898154,1.3052175,3.1558502,-2.1897817,4.7078195,-2.8856986,4.943341,-3.7892997,5.8102884,-2.9735074,5.0679226,4.663133,0.2275215,-4.966847,-3.9741502
9,-1.5694879,-2.2898154,1.3052175,3.1558502,-2.1897817,4.7078195,-2.8856986,4.943341,-3.7892997,5.8102884,-2.9735074,5.0679226,4.663133,0.2275215,-4.966847,-3.9741502
10,-1.5694882,-2.2898154,1.3052176,3.1558502,-2.1897817,4.7078195,-2.8856986,4.9433403,-3.7892997,5.8102884,-2.9735074,5.0679226,4.663133,0.22752146,-4.966847,-3.9741502
11,-1.5694882,-2.2898154,1.3052176,3.1558502,-2.1897817,4.7078195,-2.8856986,4.9433403,-3.7892997,5.8102884,-2.9735074,5.0679226,4.663133,0.22752146,-4.966847,-3.9741502
12,-1.569488,-2.2898154,1.3052175,3.1558504,-2.1897817,4.7078195,-2.8856986,4.943341,-3.7892997,5.8102875,-2.9735074,5.0679226,4.663133,0.22752151,-4.966847,-3.9741502
13,-1.569488,-2.2898154,1.3052175,3.1558504,-2.1897817,4.7078195,-2.8856986,4.943341,-3.7892997,5.8102875,-2.9735074,5.0679226,4.663133,0.22752151,-4.966847,-3.9741502
14,-1.569488,-2.2898154,1.3052176,3.1558506,-2.1897817,4.7078195,-2.8856986,4.943341,-3.7892997,5.8102875,-2.9735074,5.0679226,4.663133,0.2275215,-4.966847,-3.9741502
15,-1.569488,-2.2898154,1.3052176,3.1558506,-2.1897817,4.7078195,-2.8856986,4.943341,-3.7892997,5.8102875,-2.9735074,5.0679226,4.663133,0.2275215,-4.966847,-3.9741502
16,-1.5694879,-2.2898154,1.3052176,3.1558506,-2.1897817,4.7078195,-2.8856986,4.9433403,-3.7892997,5.8102884,-2.9735074,5.067922,4.663133,0.2275215,-4.966847,-3.9741502
17,-1.5694879,-2.2898154,1.3052176,3.1558506,-2.1897817,4.7078195,-2.8856986,4.9433403,-3.7892997,5.8102884,-2.9735074,5.067922,4.663133,0.2275215,-4.966847,-3.9741502
18,-1.569488,-2.2898154,1.3052176,3.15585,-2.1897817,4.7078195,-2.8856986,4.943341,-3.7892997,5.8102894,-2.9735074,5.067922,4.6631336,0.2275215,-4.966847,-3.9741502
19,-1.4084458,-2.072935,1.1814167,2.8219693,-2.6716297,4.711043,-2.5209408,4.875387,-3.59356,5.18297,-2.7082846,4.399861,4.780566,-0.068199456,-5.04999,-3.5182602
20,1.2620198,1.4361626,-0.89516234,-2.4964027,-8.080227,3.2435393,3.034795,2.4310825,0.19806713,-4.7531023,1.6511691,-5.939806,4.7258763,-4.066038,-4.6053877,3.760286
